,SMILES,True
0,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,0.0053333333333333
1,O=C(c1nc2c(C(F)(F)F)cc(C3CC3)cn2c1Cl)N1CCN(C2CCC(O)CC2)C(=O)C1,0.2
2,CC(C)c1ccc2c(c1)CCC1C(C)(CNS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)CCCC21C,0.052
3,COc1ccc(-c2cc(CCC(C)(C(O)=NO)S(C)(=O)=O)on2)c(F)c1,0.072
4,CCn1cc(C2(c3nn(C)c(=O)o3)NC(c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,0.0979999999999999
5,CC1COCCN1c1nc(-c2ccc(Nc3cccc(=O)[nH]3)cc2)nc2c1COC2(C)C,0.02
6,O=C(C1CC12CCN(C1CCCCC1)CC2)N1CCN(C2CCCCC2)CC1,0.81
7,COC1CN(c2nc(-c3nc(C)no3)c(C(=O)O)s2)CCC1N=C(O)c1[nH]c(C)c(Cl)c1Cl,0.015
8,O=C(O)C(F)(F)C(F)(F)OC(F)(F)F,0.0764
9,Cc1ccc(F)c(N=C(O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,0.01
10,CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,0.141
11,Cc1ccc(C(=O)NC2CC2)cc1-c1ccn2c(C(C)(C)C)nnc2c1,0.42
12,Cc1cnc(C(=O)NC2CCCCCC=CC3CC3(C(=O)NS(=O)(=O)C3CC3)NC(=O)C3CC(Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1,0.02275
13,NC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)cc[n+]1[O-],0.0004999999999999
14,Cn1nc(-c2ccncc2)cc1NC(=O)C(Cc1ccccc1)NCC(=O)O,0.16
15,OC1=NC(=Nc2cccc(C(F)(F)F)c2)SC1=Cc1cccnc1,0.0579999999999999
16,CNC(=O)N1CCN(Cc2ccnc(Nc3ncc(C#N)s3)c2C)CC1,0.087
17,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCC4NCCO)no2)cc1C#N,0.019
18,CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,0.14
19,COc1cc2nnc(C(=N)O)c(Nc3ccc(C)cc3F)c2cc1OC,0.0329999999999999
20,Cn1cnc(S(=O)(=O)N2CC3C(C2)C3(CNC(=O)c2ccc(Cl)cc2)CC2CC2)c1,0.03
21,COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,0.0610499999999999
22,CC1(C)SC2C(NC(=O)C(Oc3ccccc3)c3ccccc3)C(=O)N2C1C(=O)O,0.0296666663333333
